Serial,Word,Meaning,Study_score
1,Abate,"Subside, Moderate",0
2,Banal,"Commonplace, hackneyed",0
3,Cacophonous,Discordient,0
4,Daunt,Frighten,0
5,Ebullient,Showing excitement,0
6,Aberrant,Abnormal,0
7,Belie,False Impression,0
8,Capricious,Unpredictable,0
9,Decorum,Good teste in manner,0
10,Eclective,Selective,0
11,Facetious,Joking,0
12,Gainsay,Deny,0
13,Harangue,Long passionate speech,0
14,Iconoclastic,Attacking good tradition,0
15,Laconic,Brief and to the point,0
16,Facilitate,Bring help,0
17,Garrulous,Talkative,0
18,Homogenuous,of the same kind,1
19,Idolatry,Worship of idle,2
20,Lassitude,Fragile,0
21,Magnanimity,Generosity,0
22,Nagate,cancel out,0
23,Obdurate,Stubborn,0
24,Paragon,Model of perfection,0
25,Qualified,Restricted,0
26,Rarefied,make less dense,0
27,Malingerer,one who fake illness to escape duty,0
28,Neophyte,Beginner,0
29,Obsequious,Slavishy attentive,1
30,Partisan,One sided,0
31,Quibble,Minor objection,0
32,Recalcitrent,too stuborn,0
33,Sage,wise,0
34,Tacit,understood but not put into word,0
35,Vacillate,fluctuate,0
36,Quiesent,Dorment,0
37,Recant,"Disclaim, Disvow, Deny",0
38,Salubrious,helthful,0
39,Tangential,Peripheral,0
40,Venerate,respect,1
41,Warrented,Justified,1
42,Abeyance,suspended action,0
43,Beneficent,"kindly, doing good",0
44,Castigation,severe criticism,0
45,Default,failure to act,2
46,Wary,very cautious,0
47,Abscond,depart secretly,0
48,Bolster,support,0
49,Catalyst,agent that helps in the reaction but do not change itself,0
50,Deference,Polite submission or respect (In deference To),0
51,Efficacy,power to produce desire effect,0
52,Fallacious,FALSE,0
53,Goad,urge on,0
54,Hyperbole,exaggeration,1
55,Immutable,unchangable,0
56,Effrontery,insolent boldness,0
57,Fatuous,fool,0
58,Gouge,overcharged,0
59,Impair,injured,0
60,Latent,potential and undeveloped,0
61,Laud,Praise,1
62,Malleable,flexible,0
63,Obviate,"eliminate, extrude",1
64,Pathological,"Emotional, Mushy",0
65,Recluse,loner,0
66,Lathergic,lazy,0
67,Maveric,loofer,0
68,Occlude,"shut, closed",0
69,Paucity,"scarcity, lack",0
70,Recondite,dificult to understand,0
71,Sanction,"Approve, permission",0
72,Tenuous,"thin, rare, slim",0
73,Veracious,"truthful, honest",0
74,Welter,"turmoil, roll",0
75,Abstemious,spating in eating and drinking,0
76,Satiate,satisfy fully,0
77,Tirade,harangue,0
78,Verbose,"talkative, wordy",0
79,Whimsical,"capricious, unpredictable, abnormal",1
80,Admonish,warn,0
81,Bombastic,pompous,0
82,Caustic,"Burning, sarcustically beating",0
83,Delineate,sketch,1
84,Elegy,song of lementation,0
85,Fawning,"obsequous, excessive fonding",0
86,Boorish,rude,0
87,Chicanery,"trickery, deception",0
88,Denigrate,"belittle, defame",0
89,Elicit,draw out by discussion,0
90,Felicitous,"suitably expressed, well choosen",0
91,Gregarious,Sociable,0
92,Vindicate,Free from blame,1
93,Amalgam,Mixture of different things,0
94,Ingenuous,innocent,0
95,Restive,restless,0
96,Amorphous,shapeless,0
97,Undermine,to weaken,0
98,Equivocal,"lie, confusing",0
99,Qualify,"to make less severe, to limit",0
100,Ambivalent,mixed and conflicting emotion,0
101,Grandiloquent,pompous,0
102,Impassive,without feelings,0
103,levee,stone protected wall,0
104,Mendacious,"lying, habitually dishonest",0
105,Officious,Pushy in offering help,0
106,Guileless,without deceit,0
107,Impede,hinder,1
108,levity,lack of seriousness,0
109,Metamorphous,change of shape,0
110,Onerous,burdensome,0
111,Pedantic,"showing of learning, bookish",1
112,Refractory,stubborn,1
113,Satuarate,soak throughly,0
114,torpor,lathergic,0
115,Viable,"Practical, workable",0
116,Penchant,strong inclination,0
117,Refute,disprove,0
118,Savor,enjoy,0
119,Tortous,"winding, full of curves",0
120,Viscous,"Sticky, gluey",1
121,Zealot,fanatic,0
122,Adulterate,Impure things by mixing substances,0
123,Burgeon,grow forth,0
124,Coagulate,"congeal, thicken",0
125,Deride,redicule,0
126,Aesthetic,"artist, beauty, outer appearance",0
127,Burnish,polish,0
128,Buttress,support,0
129,Coda,concluding section of an event,0
130,Derivative,unorginal,0
131,Aggregate,gather,0
132,Alacrity,eagerness,1
133,Ambivalance,conflicting emotion,0
134,Alleviate,relieve,0
135,Amalgamate,"combine, unit",1
136,Ambiguous,unpredictable,0
137,Cogent,convincing,0
138,Commensurate,proportionate,0
139,Compendium,Brief,0
140,Reviving,rise from the death,0
141,Hibernation,temporary sleeping,0
142,Ethos,theory,1
143,Steeped,flooded,0
144,Disperate,unequal,0
145,Proprietory,owner,1
146,Appropriation,take by force,0
147,Temperance,moderation,1
148,Notoriety,famous for bad quality,0
149,Eminence,"height, fame for superiority",0
